time;copter_pitch_angle;copter_pitch_angle_kal;copter_pitch_angle_komp;copter_roll_angle;copter_roll_angle_kal;copter_roll_angle_komp;speed_test;
9,125;-1,1875;-1,1637409925460815;-1,1685550212860107;-31,375;-31,387250900268555;-31,394161224365234;100;
9,127;-1,1875;-1,159830093383789;-1,1658042669296265;-31,375;-31,380983352661133;-31,389375686645508;100;
9,129;-1,1875;-1,159830093383789;-1,1658042669296265;-31,375;-31,380983352661133;-31,389375686645508;100;
9,132;-1,1875;-1,159830093383789;-1,1658042669296265;-31,375;-31,380983352661133;-31,389375686645508;100;
9,134;-1,1875;-1,159830093383789;-1,1658042669296265;-31,375;-31,380983352661133;-31,389375686645508;100;
9,136;-1,1875;-1,161972999572754;-1,1668771505355835;-31,375;-31,376680374145508;-31,386350631713867;100;
9,139;-1,1875;-1,161972999572754;-1,1668771505355835;-31,375;-31,376680374145508;-31,386350631713867;100;
9,141;-1,1875;-1,161972999572754;-1,1668771505355835;-31,375;-31,376680374145508;-31,386350631713867;100;
9,144;-1,1875;-1,161972999572754;-1,1668771505355835;-31,375;-31,376680374145508;-31,386350631713867;100;
9,146;-1,1875;-1,164703369140625;-1,1691182851791382;-31,375;-31,376482009887695;-31,38620948791504;100;
9,148;-1,1875;-1,164703369140625;-1,1691182851791382;-31,375;-31,376482009887695;-31,38620948791504;100;
9,151;-1,1875;-1,164703369140625;-1,1691182851791382;-31,375;-31,376482009887695;-31,38620948791504;100;
9,153;-1,1875;-1,1661291122436523;-1,1708987951278687;-31,375;-31,375032424926758;-31,38564682006836;100;
9,156;-1,1875;-1,1661291122436523;-1,1708987951278687;-31,375;-31,375032424926758;-31,38564682006836;100;
9,158;-1,1875;-1,1661291122436523;-1,1708987951278687;-31,375;-31,375032424926758;-31,38564682006836;100;
9,16;-1,1875;-1,1661291122436523;-1,1708987951278687;-31,375;-31,375032424926758;-31,38564682006836;100;
9,163;-1,1875;-1,1661291122436523;-1,1708987951278687;-31,375;-31,375032424926758;-31,38564682006836;100;
9,165;-1,1875;-1,1661291122436523;-1,1708987951278687;-31,375;-31,375032424926758;-31,38564682006836;100;
9,167;-1,1875;-1,1675244569778442;-1,1722701787948608;-31,375;-31,372718811035156;-31,383848190307617;100;
9,169;-1,1875;-1,1675244569778442;-1,1722701787948608;-31,375;-31,372718811035156;-31,383848190307617;100;
9,171;-1,1875;-1,1675244569778442;-1,1722701787948608;-31,375;-31,372718811035156;-31,383848190307617;100;
9,173;-1,1875;-1,1675244569778442;-1,1722701787948608;-31,375;-31,372718811035156;-31,383848190307617;100;
9,176;-1,1875;-1,1675244569778442;-1,1722701787948608;-31,375;-31,37567901611328;-31,383848190307617;100;
9,178;-1,1875;-1,1659027338027954;-1,171464443206787;-31,375;-31,37567901611328;-31,38594627380371;100;
9,18;-1,1875;-1,1659027338027954;-1,171464443206787;-31,375;-31,37567901611328;-31,38594627380371;100;
9,182;-1,1875;-1,1659027338027954;-1,171464443206787;-31,375;-31,37567901611328;-31,38594627380371;100;
