time;copter_roll_angle;kd;ki;kp;REF_ROLL_ANGLE;SS;
0,575;-31,125;12;0,000009999999747378752;2,5;0;0;
0,578;-31,125;12;0,000009999999747378752;2,5;0;0;
0,582;-31,125;12;0,000009999999747378752;2,5;0;0;
0,585;-31,125;12;0,000009999999747378752;2,5;0;0;
0,588;-31,125;12;0,000009999999747378752;2,5;0;0;
0,591;-31,125;12;0,000009999999747378752;2,5;0;0;
0,594;-31,125;12;0,000009999999747378752;2,5;0;0;
0,597;-31,125;12;0,000009999999747378752;2,5;0;0;
0,6;-31,125;12;0,000009999999747378752;2,5;0;0;
0,603;-31,125;12;0,000009999999747378752;2,5;0;0;
0,606;-31,125;12;0,000009999999747378752;2,5;0;0;
0,609;-31,125;12;0,000009999999747378752;2,5;0;0;
0,612;-31,125;12;0,000009999999747378752;2,5;0;0;
0,615;-31,125;12;0,000009999999747378752;2,5;0;0;
0,617;-31,125;12;0,000009999999747378752;2,5;0;0;
0,621;-31,125;12;0,000009999999747378752;2,5;0;0;
0,625;-31,125;12;0,000009999999747378752;2,5;0;0;
0,628;-31,125;12;0,000009999999747378752;2,5;0;0;
0,631;-31,125;12;0,000009999999747378752;2,5;0;0;
0,633;-31,125;12;0,000009999999747378752;2,5;0;0;
0,636;-31,125;12;0,000009999999747378752;2,5;0;0;
0,64;-31,125;12;0,000009999999747378752;2,5;0;0;
0,643;-31,125;12;0,000009999999747378752;2,5;0;0;
0,645;-31,125;12;0,000009999999747378752;2,5;0;0;
0,648;-31,125;12;0,000009999999747378752;2,5;0;0;
0,651;-31,125;12;0,000009999999747378752;2,5;0;0;
0,655;-31,125;12;0,000009999999747378752;2,5;0;0;
0,658;-31,125;12;0,000009999999747378752;2,5;0;0;
0,66;-31,125;12;0,000009999999747378752;2,5;0;0;
0,663;-31,125;12;0,000009999999747378752;2,5;0;0;
0,666;-31,125;12;0,000009999999747378752;2,5;0;0;
0,669;-31,125;12;0,000009999999747378752;2,5;0;0;
0,672;-31,125;12;0,000009999999747378752;2,5;0;0;
