time,ac_x,ac_x_f,ac_y,ac_y_f,
7.308,-1.6799999475479126,-1.714894413948059,-3.4700000286102295,-3.621450662612915,
7.318,-1.649999976158142,-1.6694684028625488,-3.259999990463257,-3.3684351444244385,
7.328,-1.409999966621399,-1.4878405332565308,-2.940000057220459,-3.068530559539795,
7.338,-1.7699999809265137,-1.6853522062301636,-2.7899999618530273,-2.8735592365264893,
7.348,-1.909999966621399,-1.842605710029602,-2.490000009536743,-2.605067729949951,
7.358,-1.5099999904632568,-1.6097817420959473,-1.8799999952316284,-2.097520351409912,
7.368,-1.8700000047683716,-1.7919344902038574,-1.2699999809265137,-1.5182560682296753,
7.378,-1.850000023841858,-1.832580327987671,-1.3200000524520874,-1.37947678565979,
7.388,-1.6399999856948853,-1.697774052619934,-1.159999966621399,-1.225843071937561,
7.398,-1.3200000524520874,-1.4333322048187256,-0.5,-0.7177529335021973,
7.408,-1.1299999952316284,-1.2209997177124023,-0.36000001430511475,-0.467325896024704,
7.418,-0.8999999761581421,-0.9962999224662781,0.07000000029802322,-0.09119776636362076,
7.428,-1.1200000047683716,-1.0828900337219238,0.3499999940395355,0.21764066815376282,
7.438,-1.2599999904632568,-1.206866979598999,0.3799999952316284,0.33129221200942993,
7.448,-1.2999999523162842,-1.2720600366592407,0.8799999952316284,0.7153876423835754,
7.458,-1.0499999523162842,-1.116618037223816,1.090000033378601,0.9776163101196289,
7.468,-1.2100000381469727,-1.1819853782653809,1.1399999856948853,1.0912848711013794,
7.478,-1.159999966621399,-1.1665955781936646,1.340000033378601,1.2653855085372925,
7.488,-0.7699999809265137,-0.8889786601066589,1.4600000381469727,1.4016156196594238,
7.498,-0.8600000143051147,-0.8686935901641846,1.7400000095367432,1.6384847164154053,
7.508,-0.5400000214576721,-0.6386080980300903,1.809999942779541,1.7585453987121582,
7.518,-0.23000000417232513,-0.3525824248790741,2.049999952316284,1.9625636339187622,
7.528,-0.49000000953674316,-0.4487747251987457,2.3299999237060547,2.21976900100708,
7.538,-0.5699999928474426,-0.5336323976516724,2.3299999237060547,2.2969307899475098,
7.549,-0.44999998807907104,-0.4750897288322449,2.369999885559082,2.348079204559326,
7.558,-0.4300000071525574,-0.4435269236564636,2.700000047683716,2.594423770904541,
7.568,-0.03999999910593033,-0.16105808317661285,2.8499999046325684,2.773327112197876,
